Sample,OD600,Time_s
P21.F9_MC,0.4607,26104.468
P21.F9_MC,0.4723,27037.057
P21.F9_MC,0.4832,27969.65
P21.F9_MC,0.488,28902.088
P21.F9_MC,0.5006,29834.682
P21.F9_MC,0.5102,30767.242
P21.F9_MC,0.5158,31699.776
P21.F9_MC,0.5214,32632.176
P21.F9_MC,0.5276,33564.472
P21.F9_MC,0.5334,34496.941
P21.F9_MC,0.5355,35429.418
P21.F9_MC,0.522,36361.963
P21.F9_MC,0.5271,37294.415
P21.F9_MC,0.5237,38226.892
P21.F9_MC,0.523,39159.364
P21.F9_MC,0.5253,40091.808
P21.F9_MC,0.5281,41024.249
P21.F9_MC,0.5218,41956.683
P21.F9_MC,0.5187,42889.133
P21.F9_MC,0.5135,43821.583
P21.F9_MC,0.5108,44754.073
P21.F9_MC,0.5058,45686.536
P21.F9_MC,0.5018,46618.992
P21.F9_MC,0.4971,47551.547
P21.F9_MC,0.495,48483.921
P21.F9_MC,0.4936,49416.364
P21.F9_MC,0.4904,50348.834
P21.F9_MC,0.4864,51281.358
P21.F9_MC,0.4811,52213.762
P21.F9_MC,0.4787,53146.312
P21.F9_MC,0.4732,54078.693
P21.F9_MC,0.4682,55011.144
P21.F9_MC,0.4651,55943.634
P21.F9_MC,0.4618,56876.186
P21.F9_MC,0.4589,57808.624
P21.F9_MC,0.455,58741.026
P21.F9_MC,0.4512,59673.323
P21.F9_MC,0.4483,60605.752
P21.F9_MC,0.4449,61538.212
P21.F9_MC,0.4413,62470.619
P21.F9_MC,0.4379,63403.101
P21.F9_MC,0.4344,64335.647
P21.F9_MC,0.4312,65268.122
P21.F9_MC,0.4288,66200.595
P21.F9_MC,0.4263,67133.085
P21.F9_MC,0.4253,68065.552
P21.F9_MC,0.423,68998.018
P21.F9_MC,0.4224,69930.555
P21.F9_MC,0.419,70863.021
P21.F9_MC,0.42,71795.421
P21.F9_MC,0.4182,72727.925
P21.F9_MC,0.415,73660.508
P21.F9_MC,0.1204,0
P21.F9_MC,0.1332,927.268
P21.F9_MC,0.1125,1859.687
P21.F9_MC,0.1132,2792.16
P21.F9_MC,0.121,3724.632
P21.F9_MC,0.1301,4657.102
P21.F9_MC,0.138,5589.631
P21.F9_MC,0.1446,6522.193
P21.F9_MC,0.1545,7454.487
P21.F9_MC,0.1686,8386.937
P21.F9_MC,0.1878,9319.439
P21.F9_MC,0.2074,10251.889
P21.F9_MC,0.233,11184.439
P21.F9_MC,0.2616,12116.883
P21.F9_MC,0.2851,13049.281
P21.F9_MC,0.3036,13981.655
P21.F9_MC,0.318,14914.142
P21.F9_MC,0.3332,15846.702
P21.F9_MC,0.3456,16779.28
P21.F9_MC,0.3671,17711.855
P21.F9_MC,0.3956,18644.329
P21.F9_MC,0.4182,19576.844
P21.F9_MC,0.4451,20509.373
P21.F9_MC,0.4723,21441.922
P21.F9_MC,0.4957,22374.504
P21.F9_MC,0.5125,23307.015
P21.F9_MC,0.533,24239.47
P21.F9_MC,0.5554,25171.902
P21.F9_MC,0.5697,26104.468
P21.F9_MC,0.5819,27037.057
