"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"237","plate1.A10.pilon.contigs_renamed.fasta",133,6007704,45170.71,342,1115744,128,1451348
"238","plate1.A11.pilon.contigs_renamed.fasta",98,6155410,62810.31,349.5,848013,128,1426916
"239","plate1.A12.pilon.contigs_renamed.fasta",86,6076288,70654.51,331,473407,128,1426915
"240","plate1.A2.pilon.contigs_renamed.fasta",51,6026797,118172.49,355,812014,128,1651658
"241","plate1.A3.pilon.contigs_renamed.fasta",70,5955546,85079.23,326,639923,128,1770236
"242","plate1.A4.pilon.contigs_renamed.fasta",58,5951671,102615.02,339,729647,128,2685195
"243","plate1.A5.pilon.contigs_renamed.fasta",57,5845405,102550.96,418,339204,128,645346
"244","plate1.A7.pilon.contigs_renamed.fasta",32,5943200,185725,14997.5,720782,128,1704463
"245","plate1.A8.pilon.contigs_renamed.fasta",69,6006977,87057.64,716,454241,128,1131531
"246","plate1.A9.pilon.contigs_renamed.fasta",51,6001141,117669.43,2177,410306,128,1021803
"247","plate1.B10.pilon.contigs_renamed.fasta",56,5976619,106725.34,725,499351,128,1054487
"248","plate1.B11.pilon.contigs_renamed.fasta",52,6136973,118018.71,512.5,473407,128,1426916
"249","plate1.B12.pilon.contigs_renamed.fasta",65,6141487,94484.42,301,848013,128,1426915
"250","plate1.B1.pilon.contigs_renamed.fasta",53,6025392,113686.64,584,428866,128,1021201
"251","plate1.B2.pilon.contigs_renamed.fasta",42,6023361,143413.36,721.5,564036,128,812014
"252","plate1.B3.pilon.contigs_renamed.fasta",45,5947919,132175.98,424,639034,128,1515022
"253","plate1.B4.pilon.contigs_renamed.fasta",45,5946362,132141.38,2019,414317,128,1377889
"254","plate1.B5.pilon.contigs_renamed.fasta",49,5838541,119153.9,84848,249402,128,505294
"255","plate1.B6.pilon.contigs_renamed.fasta",45,5836396,129697.69,100644,276686,128,393393
"256","plate1.B7.pilon.contigs_renamed.fasta",38,5940583,156331.13,129416.5,286356,128,640172
"257","plate1.B8.pilon.contigs_renamed.fasta",59,6002462,101736.64,1495,443989,128,1440934
"258","plate1.B9.pilon.contigs_renamed.fasta",54,6001541,111139.65,2183.5,489724,128,1287700
"259","plate1.C10.pilon.contigs_renamed.fasta",44,5944447,135101.07,14192.5,361864,128,683704
"260","plate1.C11.pilon.contigs_renamed.fasta",46,5947315,129289.46,358,624467,128,1557176
"261","plate1.C12.pilon.contigs_renamed.fasta",29,6079900,209651.72,303,1437556,128,1916386
"262","plate1.C1.pilon.contigs_renamed.fasta",58,5957079,102708.26,329.5,820418,128,1476568
"263","plate1.C2.pilon.contigs_renamed.fasta",40,5985039,149625.98,26801.5,446553,128,1418230
"264","plate1.C3.pilon.contigs_renamed.fasta",51,5987270,117397.45,1961,446597,128,1250071
"265","plate1.C4.pilon.contigs_renamed.fasta",40,5921210,148030.25,14816.5,427578,128,848640
"266","plate1.C5.pilon.contigs_renamed.fasta",164,6013409,36667.13,375.5,285872,128,634544
"269","plate1.C8.pilon.contigs_renamed.fasta",82,5998128,73147.9,21719,209155,128,669315
"270","plate1.C9.pilon.contigs_renamed.fasta",40,5897429,147435.73,20575.5,357795,128,805790
"271","plate1.D10.pilon.contigs_renamed.fasta",41,5944975,144999.39,3099,436011,128,1086743
"272","plate1.D11.pilon.contigs_renamed.fasta",37,5944166,160653.14,631,623599,128,1320244
"273","plate1.D12.pilon.contigs_renamed.fasta",24,6078301,253262.54,339.5,1148547,128,1388067
"274","plate1.D1.pilon.contigs_renamed.fasta",50,5977426,119548.52,486.5,1115973,128,1452080
"275","plate1.D2.pilon.contigs_renamed.fasta",50,5986357,119727.14,8641.5,497862,128,875460
"276","plate1.D3.pilon.contigs_renamed.fasta",57,5827944,102244.63,1436,503607,128,871782
"277","plate1.D4.pilon.contigs_renamed.fasta",57,5920045,103860.44,31632,263519,128,941726
"278","plate1.D5.pilon.contigs_renamed.fasta",55,6056651,110120.93,30646,294319,128,1048915
"279","plate1.D6.pilon.contigs_renamed.fasta",81,6231727,76934.9,47458,186323,128,389595
"281","plate1.D8.pilon.contigs_renamed.fasta",62,6017525,97056.85,45865,204779,128,811801
"282","plate1.D9.pilon.contigs_renamed.fasta",56,5897192,105307,72883,268200,128,567490
"283","plate1.E1.pilon.contigs_renamed.fasta",48,6026744,125557.17,21799,399615,128,559152
"284","plate1.E3.pilon.contigs_renamed.fasta",57,5975569,104834.54,1673,462026,128,1076431
"285","plate1.E4.pilon.contigs_renamed.fasta",59,5975928,101286.92,2002,593200,128,1223120
"286","plate1.E5.pilon.contigs_renamed.fasta",44,5950200,135231.82,50833.5,269743,128,694732
"288","plate1.E7.pilon.contigs_renamed.fasta",56,6008922,107302.18,65261,220703,128,800613
"289","plate1.E8.pilon.contigs_renamed.fasta",42,6096156,145146.57,67098,376518,128,1324941
"291","plate1.F12.pilon.contigs_renamed.fasta",58,5954900,102670.69,506.5,534351,128,837942
